id,marka,seri,model,yil,kilometre,vites_tipi,yakit_tipi,kasa_tipi,renk,motor_hacmi,motor_gucu,degisen_sayisi,boyali_sayisi,kimden,fiyat
11449,Chevrolet,Aveo,1.4 LT,2012.0,109000.0,Otomatik,Benzin,Hatchback/5,Beyaz,1300.0,88.0,3.0,4.0,Galeriden,659000.0
11450,Chevrolet,Kalos,1.2 S,2005.0,204000.0,Düz,LPG & Benzin,Hatchback/5,Lacivert,1150.0,72.0,0.0,0.0,Sahibinden,340000.0
11451,Chevrolet,Corvette,C4,1991.0,201000.0,Düz,LPG & Benzin,Coupe,Sarı,1500.0,88.0,,,Sahibinden,777000.0
11452,Chevrolet,Lacetti,1.6 WTCC,2011.0,150000.0,Düz,LPG & Benzin,Hatchback/5,Siyah,1598.0,109.0,1.0,3.0,Sahibinden,350000.0
11453,Chevrolet,Lacetti,1.6 SX,2005.0,225000.0,Otomatik,LPG & Benzin,Hatchback/5,Beyaz,,,1.0,0.0,Sahibinden,410000.0
11454,Chevrolet,Aveo,1.4 LS,2011.0,119500.0,Otomatik,LPG & Benzin,Sedan,Beyaz,,,0.0,4.0,Sahibinden,395000.0
11455,Chevrolet,Kalos,1.4 SX,2004.0,217000.0,Düz,LPG & Benzin,Sedan,Mavi,1399.0,94.0,2.0,6.0,Sahibinden,285000.0
11456,Chevrolet,Rezzo,1.6 SX Comfort,2005.0,219500.0,Düz,LPG & Benzin,MPV,Gri,1598.0,108.0,0.0,4.0,Sahibinden,365000.0
11457,Chevrolet,Aveo,1.2 LS,2011.0,169800.0,Düz,LPG & Benzin,Sedan,Gri,1206.0,84.0,0.0,3.0,Sahibinden,372000.0
11458,Chevrolet,Spark,1.2 LS,2012.0,133000.0,Düz,Benzin,Hatchback/5,Gri (Gümüş),1206.0,82.0,0.0,1.0,Sahibinden,425000.0
11459,Chevrolet,Cruze,1.6 LS Plus,2011.0,178000.0,Düz,Benzin,Sedan,Siyah,1598.0,124.0,,,Sahibinden,515000.0
11460,Chevrolet,Cruze,1.6 LS,2009.0,204000.0,Düz,Benzin,Sedan,Siyah,1598.0,113.0,2.0,8.0,Sahibinden,415000.0
