id,marka,seri,trim,yil,kilometre,vites_tipi,yakit_tipi,kasa_tipi,renk,motor_hacmi,motor_gucu,degisen_sayisi,boyali_sayisi,kimden,fiyat,model_tam
22375,Opel,Astra,1.6 CDTI Excellence,2017.0,125000.0,Otomatik,Benzin,Hatchback/5,Lacivert,1598.0,136.0,0.0,5.0,Galeriden,980000.0,Astra 1.6 CDTI Excellence
22376,Opel,Astra,1.4 Club,2005.0,270000.0,Düz,Benzin,Sedan,Beyaz,1300.0,88.0,2.0,7.0,Galeriden,350000.0,Astra 1.4 Club
22377,Opel,Astra,1.4 T Dynamic,2018.0,160000.0,Otomatik,Benzin,Hatchback/5,Kahverengi,1300.0,138.0,2.0,0.0,Galeriden,879000.0,Astra 1.4 T Dynamic
22378,Opel,Corsa,1.4 Essentia,2019.0,72000.0,Otomatik,Benzin,Hatchback/5,Beyaz,1398.0,90.0,,,Sahibinden,850000.0,Corsa 1.4 Essentia
22379,Opel,Astra,1.6 CD,1999.0,254000.0,Otomatik,LPG & Benzin,Sedan,Kırmızı,1598.0,100.0,0.0,3.0,Sahibinden,425000.0,Astra 1.6 CD
22380,Opel,Vectra,2.0 CD,1997.0,280000.0,Otomatik,Benzin,Sedan,Beyaz,1998.0,136.0,0.0,3.0,Galeriden,265000.0,Vectra 2.0 CD
22381,Opel,Astra,1.6 Classic,2001.0,322000.0,Düz,Benzin,Sedan,Beyaz,1500.0,63.0,0.0,0.0,Galeriden,245000.0,Astra 1.6 Classic
22382,Opel,Corsa,1.4 GLS,2000.0,148000.0,Düz,LPG & Benzin,Hatchback/5,Lacivert,1389.0,90.0,0.0,1.0,Sahibinden,275000.0,Corsa 1.4 GLS
22383,Opel,Astra,1.6 CDTI Excellence,2015.0,125000.0,Otomatik,Dizel,Hatchback/5,Beyaz,1598.0,136.0,,,Sahibinden,1078000.0,Astra 1.6 CDTI Excellence
22384,Opel,Corsa,1.4 Twinport Enjoy 111,2011.0,113500.0,Düz,Benzin,Hatchback/5,Siyah,1364.0,100.0,0.0,0.0,Sahibinden,520000.0,Corsa 1.4 Twinport Enjoy 111
22385,Opel,Corsa,1.4 GLS,2000.0,239000.0,Otomatik,Benzin,Hatchback/5,Mavi,1300.0,88.0,0.0,0.0,Galeriden,350000.0,Corsa 1.4 GLS
22386,Opel,Vectra,2.0 GLS,1995.0,315000.0,Düz,LPG & Benzin,Sedan,Kırmızı,1998.0,115.0,2.0,0.0,Galeriden,210000.0,Vectra 2.0 GLS
