marka,model_tam,yil,km,fiyat,renk,sehir,ilce,satici_tipi,seri,trim
BMW,2 Serisi 218i Gran Coupe First Edition Sport Line,2021,119.8,1.985.000 TL,Kırmızı,İstanbul,Sultangazi,Galeriden,2 Serisi,218i Gran Coupe First Edition Sport Line
BMW,5 Serisi 520i Premium,2014,135.0,1.895.750 TL,Füme,İstanbul,Sultangazi,Galeriden,5 Serisi,520i Premium
BMW,5 Serisi 520i M Sport,2023,84.785,3.975.000 TL,Siyah,İstanbul,Beşiktaş,Galeriden,5 Serisi,520i M Sport
BMW,4 Serisi 418i Gran Coupe M Sport,2017,60.0,2.095.000 TL,Siyah,İstanbul,Sultangazi,Galeriden,4 Serisi,418i Gran Coupe M Sport
BMW,5 Serisi 520i Executive,2016,185.0,2.139.000 TL,Siyah,Samsun,İlkadım,Galeriden,5 Serisi,520i Executive
BMW,3 Serisi 316i M Sport,2012,275.0,1.225.000 TL,Beyaz,Burdur,Bucak,Galeriden,3 Serisi,316i M Sport
BMW,5 Serisi 520d Premium,2014,250.533,1.890.000 TL,Siyah,Ankara,Çankaya,Sahibinden,5 Serisi,520d Premium
BMW,5 Serisi 520i Special Edition M Sport,2021,135.0,3.350.000 TL,Beyaz,Kocaeli,İzmit,Sahibinden,5 Serisi,520i Special Edition M Sport
BMW,3 Serisi 320i ED M Sport,2015,150.0,1.725.000 TL,Beyaz,İstanbul,Bağcılar,Galeriden,3 Serisi,320i ED M Sport
BMW,3 Serisi 320i ED 40th Year Edition,2015,167.5,1.959.000 TL,Siyah,İstanbul,Sancaktepe,Galeriden,3 Serisi,320i ED 40th Year Edition
BMW,3 Serisi 316i Standart,2012,244.0,1.035.000 TL,Beyaz,İstanbul,Başakşehir,Galeriden,3 Serisi,316i Standart
BMW,3 Serisi 320i ED Sport Line,2016,216.8,1.428.000 TL,Beyaz,İstanbul,Kadıköy,Galeriden,3 Serisi,320i ED Sport Line
BMW,3 Serisi 320d M Sport,2012,258.0,1.440.000 TL,Lacivert,Antalya,Döşemealtı,Galeriden,3 Serisi,320d M Sport
BMW,4 Serisi 420i Edition M Sport,2021,127.75,3.790.000 TL,Beyaz,İstanbul,Bağcılar,Galeriden,4 Serisi,420i Edition M Sport
BMW,3 Serisi 320i Sport Line,2026,7.0,3.929.000 TL,Gri,İstanbul,Bağcılar,Galeriden,3 Serisi,320i Sport Line
BMW,2 Serisi 218i Gran Coupe Sport Line,2021,169.0,1.689.750 TL,Beyaz,İstanbul,Esenyurt,Galeriden,2 Serisi,218i Gran Coupe Sport Line
BMW,5 Serisi 520i M Sport,2025,24.0,5.750.000 TL,Siyah,Ankara,Çankaya,Galeriden,5 Serisi,520i M Sport
BMW,3 Serisi 320i ED Luxury Line,2016,145.0,1.598.000 TL,Lacivert,İstanbul,Avcılar,Sahibinden,3 Serisi,320i ED Luxury Line
BMW,5 Serisi 520i Premium,2015,172.0,1.890.000 TL,Siyah,Çanakkale,Merkez,Sahibinden,5 Serisi,520i Premium
BMW,5 Serisi 520i Premium,2015,245.0,1.825.000 TL,Siyah,Nevşehir,Merkez,Galeriden,5 Serisi,520i Premium
BMW,5 Serisi 520i Comfort,2015,165.0,1.780.000 TL,Beyaz,Manisa,Kula,Galeriden,5 Serisi,520i Comfort
BMW,7 Serisi 740d xDrive Exclusive,2012,340.0,2.650.000 TL,Beyaz,Ankara,Çankaya,Sahibinden,7 Serisi,740d xDrive Exclusive
BMW,3 Serisi 320d Premium,2009,225.0,880.000 TL,Siyah,İstanbul,Başakşehir,Galeriden,3 Serisi,320d Premium
BMW,5 Serisi 525d xDrive Premium,2015,219.0,1.899.999 TL,Beyaz,Gaziantep,Şehitkamil,Galeriden,5 Serisi,525d xDrive Premium
BMW,3 Serisi 320i ED 40th Year Edition,2015,216.0,1.660.000 TL,Siyah,Gaziantep,Nizip,Sahibinden,3 Serisi,320i ED 40th Year Edition
BMW,3 Serisi 320i M Sport,2022,82.0,3.400.000 TL,Füme,İstanbul,Sarıyer,Sahibinden,3 Serisi,320i M Sport
BMW,5 Serisi 520d Premium,2012,134.0,5.750.000 TL,Beyaz,Konya,Selçuklu,Sahibinden,5 Serisi,520d Premium
BMW,4 Serisi 420i Gran Coupe M Sport,2024,19.0,5.000.000 TL,Siyah,Antalya,Kepez,Sahibinden,4 Serisi,420i Gran Coupe M Sport
BMW,5 Serisi 520d Premium,2012,134.0,1.980.000 TL,Beyaz,İstanbul,Bağcılar,Galeriden,5 Serisi,520d Premium
BMW,3 Serisi 320d Comfort,2011,305.0,780.000 TL,Siyah,İstanbul,Bağcılar,Galeriden,3 Serisi,320d Comfort
BMW,3 Serisi 320d M Sport,2010,250.0,1.260.000 TL,Beyaz,Isparta,Merkez,Sahibinden,3 Serisi,320d M Sport
BMW,5 Serisi 520d M Sport,2013,315.241,1.570.000 TL,Beyaz,Antalya,Serik,Galeriden,5 Serisi,520d M Sport
BMW,2 Serisi 218i M Sport,2016,180.0,1.975.000 TL,Beyaz,İstanbul,Beylikdüzü,Sahibinden,2 Serisi,218i M Sport
BMW,5 Serisi 520d M Sport,2009,403.0,810.000 TL,Siyah,Konya,Selçuklu,Sahibinden,5 Serisi,520d M Sport
BMW,1 Serisi 116i Comfort,2012,248.0,890.000 TL,Beyaz,İzmir,Buca,Sahibinden,1 Serisi,116i Comfort
BMW,3 Serisi 320i Sport Line,2022,105.0,3.150.000 TL,Beyaz,Ankara,Çankaya,Sahibinden,3 Serisi,320i Sport Line
BMW,5 Serisi 525d xDrive Premium,2014,183.0,1.999.900 TL,Beyaz,İstanbul,Sancaktepe,Galeriden,5 Serisi,525d xDrive Premium
BMW,3 Serisi 316i M Sport,2012,155.0,1.429.000 TL,Siyah,Ankara,Yenimahalle,Galeriden,3 Serisi,316i M Sport
BMW,3 Serisi 320i ED Techno Plus,2014,274.0,1.230.000 TL,Beyaz,Mersin,Tarsus,Sahibinden,3 Serisi,320i ED Techno Plus
BMW,5 Serisi 525i Standart,2005,228.0,996.500 TL,Siyah,İstanbul,Tuzla,Galeriden,5 Serisi,525i Standart
BMW,3 Serisi 320d M Sport,2012,196.5,1.445.000 TL,Mavi,Tokat,Merkez,Sahibinden,3 Serisi,320d M Sport
BMW,5 Serisi 520d xDrive Prestige,2017,199.0,3.000.000 TL,Gri,Konya,Kulu,Galeriden,5 Serisi,520d xDrive Prestige
BMW,1 Serisi 116i Premium,2012,164.5,1.040.000 TL,Beyaz,Ankara,Altındağ,Sahibinden,1 Serisi,116i Premium
BMW,3 Serisi 320i First Edition M Sport,2020,107.0,3.000.000 TL,Gri,İzmir,Bayraklı,Sahibinden,3 Serisi,320i First Edition M Sport
BMW,4 Serisi 420i Gran Coupe M Sport,2022,123.0,3.399.000 TL,Lacivert,İstanbul,Bağcılar,Galeriden,4 Serisi,420i Gran Coupe M Sport
BMW,5 Serisi 520i M Sport,2018,279.0,2.150.000 TL,Füme,Muş,Merkez,Galeriden,5 Serisi,520i M Sport
