konum,fiyat,marka,seri,trim,yil,kilometre,vites_tipi,yakit_tipi,kasa_tipi,motor_hacmi,motor_gucu,cekis,ortalama_yakit_tuketimi,yakit_deposu,tramer,degisen,boyali,model_tam
 Adana,1070000.0,Hyundai,i20,1.4 MPI Style,2017,51397.0,Otomatik,Benzin,Hatchback/5,1201.0,76.0,Önden Çekiş,6.4,50.0,0.0,0,0,i20 1.4 MPI Style
 Adana,1835000.0,Mercedes-Benz,C,C 200 D Comfort,2017,151000.0,Otomatik,Dizel,Sedan,1598.0,136.0,Arkadan İtiş,4.2,41.0,0.0,0,0,C C 200 D Comfort
 Adana,195000.0,Fiat,Palio,1.4 EL,2000,345000.0,Düz,Benzin,Hatchback/5,1368.0,77.0,Önden Çekiş,6.1,51.0,0.0,0,0,Palio 1.4 EL
 Adana,1095000.0,Honda,Civic,1.6 i-VTEC ECO Elegance,2016,230000.0,Otomatik,Benzin,Sedan,1598.0,125.0,Önden Çekiş,6.7,50.0,0.0,0,2,Civic 1.6 i-VTEC ECO Elegance
 Adana,459900.0,Honda,Accord,2.4 Executive,2003,322000.0,Otomatik,Benzin,Sedan,2354.0,190.0,Önden Çekiş,9.4,65.0,0.0,0,0,Accord 2.4 Executive
 Adana,517500.0,Ford,Focus,1.6 TDCi Collection,2010,256000.0,Düz,Dizel,Sedan,1560.0,90.0,Önden Çekiş,4.7,55.0,0.0,0,0,Focus 1.6 TDCi Collection
 Adana,480000.0,Toyota,Corolla,1.4 Terra,2005,282229.0,Düz,LPG & Benzin,Sedan,1398.0,97.0,Önden Çekiş,6.7,55.0,0.0,0,0,Corolla 1.4 Terra
 Adana,1260000.0,Ford,Focus,1.5 Ti-VCT Trend X,2023,56950.0,Düz,Benzin,Sedan,1401.0,101.0,Önden Çekiş,5.8,52.0,0.0,0,0,Focus 1.5 Ti-VCT Trend X
 Adana,985000.0,Ford,Focus,1.5 TDCi Trend X,2018,229000.0,Otomatik,Dizel,Sedan,1500.0,120.0,Önden Çekiş,4.3,47.0,0.0,0,0,Focus 1.5 TDCi Trend X
 Adana,1075000.0,Ford,Focus,1.6 TDCi Trend X,2015,109000.0,Düz,Dizel,Sedan,1560.0,95.0,Önden Çekiş,4.5,53.0,0.0,0,0,Focus 1.6 TDCi Trend X
 Adana,595000.0,Citroen,C5,1.6 HDi Executive,2013,213000.0,Düz,Dizel,Sedan,1560.0,117.0,Önden Çekiş,5.0,71.0,0.0,0,0,C5 1.6 HDi Executive
 Adana,534500.0,Renault,Symbol,1.5 dCi Joy,2014,268000.0,Düz,Dizel,Sedan,1461.0,75.0,Önden Çekiş,3.9,50.0,0.0,1,0,Symbol 1.5 dCi Joy
 Adana,1285000.0,Ford,Focus,1.5 TDCi Titanium,2020,122000.0,Otomatik,Dizel,Sedan,1500.0,120.0,Önden Çekiş,4.3,47.0,110000.0,1,2,Focus 1.5 TDCi Titanium
 Adana,730000.0,Ford,Fiesta,1.4 TDCi Titanium,2012,95000.0,Düz,Dizel,Hatchback/5,1398.0,70.0,Önden Çekiş,4.2,45.0,0.0,0,0,Fiesta 1.4 TDCi Titanium
 Adana,810000.0,Fiat,Egea,1.6 Multijet Easy,2021,171000.0,Düz,Dizel,Sedan,1598.0,130.0,Önden Çekiş,4.3,50.0,0.0,0,1,Egea 1.6 Multijet Easy
 Adana,839000.0,Fiat,Egea,1.4 Fire Urban,2023,25000.0,Düz,Benzin,Sedan,1201.0,76.0,Önden Çekiş,6.4,45.0,0.0,2,0,Egea 1.4 Fire Urban
 Adana,545000.0,Dacia,Logan,1.6 MCV Ambiance,2014,155000.0,Düz,Benzin,Station wagon,1200.0,51.0,Önden Çekiş,7.9,50.0,0.0,0,0,Logan 1.6 MCV Ambiance
 Adana,1550000.0,BMW,5 Serisi,520d Premium,2014,298000.0,Otomatik,Dizel,Sedan,1995.0,190.0,Arkadan İtiş,4.1,70.0,0.0,2,3,5 Serisi 520d Premium
 Adana,2150000.0,BMW,5 Serisi,520i Prestige,2017,228000.0,Otomatik,Benzin,Sedan,1401.0,151.0,Arkadan İtiş,6.5,68.0,92000.0,1,0,5 Serisi 520i Prestige
 Adana,1215000.0,BMW,3 Serisi,316i Modern Line,2012,116000.0,Otomatik,Benzin,Sedan,1401.0,126.0,Arkadan İtiş,5.8,60.0,640.0,0,0,3 Serisi 316i Modern Line
 Adana,965000.0,BMW,1 Serisi,116i Joy Edition,2014,204000.0,Otomatik,Benzin,Hatchback/5,1401.0,126.0,Arkadan İtiş,5.7,52.0,8900.0,0,0,1 Serisi 116i Joy Edition
 Adana,975000.0,Audi,A3,A3 Sportback 1.6 TDI Ambition,2014,239000.0,Otomatik,Dizel,Hatchback/5,1401.0,101.0,Önden Çekiş,3.9,50.0,29.0,3,2,A3 A3 Sportback 1.6 TDI Ambition
 Adana,795000.0,Alfa Romeo,Giulietta,1.6 JTD Progression,2017,144000.0,Otomatik,Dizel,Hatchback/5,1598.0,120.0,Önden Çekiş,3.9,60.0,0.0,0,4,Giulietta 1.6 JTD Progression
 Adana,555000.0,Opel,Astra,1.6 Enjoy,2010,204000.0,Düz,LPG & Benzin,Hatchback/5,1598.0,115.0,Önden Çekiş,6.3,56.0,0.0,0,1,Astra 1.6 Enjoy
 Adana,1365000.0,Honda,Civic,1.6 i-VTEC ECO Elegance,2019,104000.0,Yarı Otomatik,Benzin,Sedan,1597.0,125.0,Önden Çekiş,6.3,46.0,0.0,1,1,Civic 1.6 i-VTEC ECO Elegance
 Adana,785000.0,Citroen,C-Elysee,1.5 BlueHDi Feel,2022,69000.0,Düz,Dizel,Sedan,1499.0,100.0,Önden Çekiş,3.9,50.0,21042023.0,0,6,C-Elysee 1.5 BlueHDi Feel
 Adana,345000.0,Volkswagen,Jetta,1.6 Primeline,2008,379200.0,Düz,LPG & Benzin,Sedan,1595.0,102.0,Önden Çekiş,7.4,55.0,0.0,0,11,Jetta 1.6 Primeline
 Adana,469900.0,Hyundai,Accent Blue,1.6 CRDI Biz,2013,350000.0,Otomatik,Dizel,Sedan,1582.0,128.0,Önden Çekiş,5.6,43.0,0.0,0,11,Accent Blue 1.6 CRDI Biz
 Adana,629900.0,Ford,Fiesta,1.6 Trend X,2014,156000.0,Yarı Otomatik,LPG & Benzin,Hatchback/5,1596.0,105.0,Önden Çekiş,5.9,42.0,0.0,0,9,Fiesta 1.6 Trend X
 Adana,290000.0,Renault,Clio,1.4 RNA,2001,255000.0,Düz,LPG & Benzin,Sedan,1390.0,75.0,Önden Çekiş,7.1,50.0,0.0,0,10,Clio 1.4 RNA
 Adana,545000.0,Dacia,Logan,1.2 Ambiance,2014,155000.0,Düz,Benzin,Station wagon,1149.0,75.0,Önden Çekiş,6.0,50.0,0.0,0,0,Logan 1.2 Ambiance
 Adana,335000.0,Volkswagen,Polo,1.6,2000,267000.0,Düz,Benzin,Hatchback/5,1598.0,75.0,Önden Çekiş,6.9,45.0,0.0,0,3,Polo 1.6
 Adana,545000.0,Volkswagen,Polo,1.6 TDi Comfortline,2013,226000.0,Düz,Dizel,Hatchback/5,1598.0,90.0,Önden Çekiş,4.2,45.0,0.0,2,5,Polo 1.6 TDi Comfortline
 Adana,395000.0,Smart,ForFour,1.5 CDI Passion,2005,322000.0,Düz,Dizel,Hatchback/5,1493.0,95.0,Önden Çekiş,4.6,47.0,5250.0,0,0,ForFour 1.5 CDI Passion
 Adana,675000.0,Renault,Fluence,1.5 dCi Extreme,2011,179000.0,Düz,Dizel,Sedan,1461.0,105.0,Önden Çekiş,4.5,60.0,0.0,0,0,Fluence 1.5 dCi Extreme
 Adana,235000.0,Opel,Corsa,1.7 DTi Comfort,2003,480000.0,Düz,Dizel,Hatchback/3,1686.0,75.0,Önden Çekiş,4.7,44.0,0.0,0,0,Corsa 1.7 DTi Comfort
 Adana,455000.0,Nissan,Micra,1.2 Passion,2012,161000.0,Düz,Benzin,Hatchback/5,1198.0,80.0,Önden Çekiş,5.0,41.0,0.0,1,4,Micra 1.2 Passion
 Adana,850000.0,Honda,Civic,1.6 i-VTEC Eco Premium,2012,256000.0,Otomatik,LPG & Benzin,Sedan,1595.0,125.0,Önden Çekiş,6.7,50.0,0.0,0,3,Civic 1.6 i-VTEC Eco Premium
 Adana,398000.0,Fiat,Linea,1.3 Multijet Actual,2013,250000.0,Düz,Dizel,Sedan,1248.0,95.0,Önden Çekiş,4.9,45.0,0.0,0,7,Linea 1.3 Multijet Actual
 Adana,665000.0,Volkswagen,Polo,1.4 TDi Trendline,2016,190000.0,Düz,Dizel,Hatchback/5,1422.0,75.0,Önden Çekiş,3.6,45.0,0.0,0,7,Polo 1.4 TDi Trendline
 Adana,285000.0,Hyundai,Accent,1.5 GT,2001,250000.0,Düz,Benzin,Hatchback/3,1495.0,99.0,Önden Çekiş,8.1,45.0,0.0,0,0,Accent 1.5 GT
 Adana,860000.0,Volkswagen,Polo,1.4 TDi Comfortline,2017,205000.0,Yarı Otomatik,Dizel,Hatchback/5,1422.0,90.0,Önden Çekiş,3.5,45.0,0.0,0,2,Polo 1.4 TDi Comfortline
 Adana,1150000.0,Volvo,S60,1.6 D Premium,2012,164000.0,Yarı Otomatik,Dizel,Sedan,1560.0,115.0,Önden Çekiş,4.3,67.0,0.0,0,0,S60 1.6 D Premium
 Adana,439900.0,Ford,Focus,1.6 Comfort,2011,273000.0,Düz,Benzin,Hatchback/5,1596.0,100.0,Önden Çekiş,6.7,55.0,0.0,0,9,Focus 1.6 Comfort
